Crop,Diseases,Irrigation,Fertilizers,Pests,Pesticides
rice,"Rice blast, Brown spot, Bacterial leaf blight, Sheath blight, Tungro disease","Flood, Drip","NPK, Urea, Ammonium sulfate","Rice stem borer, Rice leaf folder, Brown planthopper, Gall midge, Rice hispa","Carbofuran, Chlorpyrifos, Imidacloprid, Thiamethoxam"
maize,"Northern corn leaf blight, Maize streak virus, Common rust, Southern leaf blight, Maize dwarf mosaic virus","Sprinkler, Drip","NPK, Urea, DAP","Corn earworm, Armyworm, European corn borer, Rootworm, Fall armyworm","Lambda-cyhalothrin, Chlorpyrifos, Permethrin, Spinosad"
chickpea,"Ascochyta blight, Fusarium wilt, Botrytis grey mold, Root rot, Collar rot",Drip,"DAP, NPK, Ammonium sulfate","Pod borer, Aphids, Cutworms, Helicoverpa armigera","Bacillus thuringiensis, Chlorpyrifos, Spinosad"
kidneybeans,"Root rot, Anthracnose, Bacterial blight, Rust, Halo blight",Drip,"DAP, NPK, Urea","Bean fly, Aphids, Leaf miners, Thrips, Spider mites","Chlorpyrifos, Imidacloprid, Lambda-cyhalothrin"
pigeonpeas,"Wilt, Sterility mosaic, Phytophthora blight, Fusarium wilt, Powdery mildew",Drip,"NPK, DAP, Urea","Pod borer, Aphids, Maruca vitrata, Helicoverpa armigera","Spinosad, Imidacloprid, Chlorpyrifos"
mothbeans,"Powdery mildew, Root rot, Blight, Anthracnose",Drip,"NPK, DAP, Urea","Aphids, Leafhoppers, Whitefly, Pod borer","Imidacloprid, Chlorpyrifos, Spinosad"
mungbean,"Yellow mosaic, Powdery mildew, Anthracnose, Cercospora leaf spot",Drip,"NPK, DAP, Urea","Aphids, Whitefly, Leafhoppers, Thrips","Imidacloprid, Chlorpyrifos, Spinosad"
blackgram,"Leaf curl, Powdery mildew, Bacterial blight, Anthracnose",Drip,"NPK, DAP, Urea","Aphids, Whitefly, Leafhoppers, Pod borer","Imidacloprid, Chlorpyrifos, Spinosad"
lentil,"Rust, Downy mildew, Ascochyta blight, Fusarium wilt",Drip,"NPK, DAP, Urea","Aphids, Cutworms, Leaf miners, Thrips","Imidacloprid, Chlorpyrifos, Spinosad"
pomegranate,"Bacterial blight, Anthracnose, Cercospora leaf spot, Alternaria fruit rot",Drip,"NPK, DAP, Urea","Fruit fly, Mealybug, Aphids, Whitefly","Chlorpyrifos, Imidacloprid, Spinosad"
banana,"Panama disease, Sigatoka, Bunchy top virus, Moko disease","Flood, Drip","NPK, Urea, Potassium","Banana weevil, Nematodes, Aphids, Thrips","Chlorpyrifos, Imidacloprid, Lambda-cyhalothrin"
mango,"Anthracnose, Powdery mildew, Bacterial canker, Mango malformation",Drip,"NPK, Urea, Potassium","Fruit fly, Mealybug, Aphids, Mango hoppers","Chlorpyrifos, Imidacloprid, Spinosad"
grapes,"Downy mildew, Powdery mildew, Anthracnose, Botrytis bunch rot",Drip,"NPK, Urea, Potassium","Grape berry moth, Mealybug, Aphids, Thrips","Chlorpyrifos, Imidacloprid, Spinosad"
watermelon,"Fusarium wilt, Anthracnose, Gummy stem blight, Powdery mildew",Drip,"NPK, Urea, Potassium","Fruit fly, Aphids, Thrips, Leaf miners","Chlorpyrifos, Imidacloprid, Spinosad"
muskmelon,"Powdery mildew, Downy mildew, Anthracnose, Gummy stem blight",Drip,"NPK, Urea, Potassium","Aphids, Thrips, Whitefly, Leaf miners","Imidacloprid, Chlorpyrifos, Spinosad"
apple,"Apple scab, Powdery mildew, Fire blight, Cedar-apple rust",Drip,"NPK, Urea, Potassium","Codling moth, Apple maggot, Aphids, Spider mites","Imidacloprid, Chlorpyrifos, Spinosad"
orange,"Citrus canker, Greening disease, Black spot, Anthracnose",Drip,"NPK, Urea, Potassium","Citrus psyllid, Citrus leaf miner, Aphids, Mealybug","Imidacloprid, Chlorpyrifos, Spinosad"
papaya,"Papaya ringspot virus, Anthracnose, Powdery mildew, Phytophthora blight",Drip,"NPK, Urea, Potassium","Papaya mealybug, Fruit fly, Aphids, Spider mites","Imidacloprid, Chlorpyrifos, Spinosad"
coconut,"Lethal yellowing, Root wilt, Stem bleeding, Leaf blight",Drip,"NPK, Urea, Potassium","Rhinoceros beetle, Red palm weevil, Coconut mite","Imidacloprid, Chlorpyrifos, Spinosad"
cotton,"Boll weevil, Boll rot, Fusarium wilt, Verticillium wilt","Drip, Sprinkler","NPK, Urea, Potassium","Boll weevil, Bollworm, Aphids, Thrips","Imidacloprid, Chlorpyrifos, Spinosad"
jute,"Stem rot, Black root rot, Anthracnose, Leaf blight","Flood, Drip","NPK, Urea, Potassium","Stem weevil, Jute hairy caterpillar, Yellow mite","Imidacloprid, Chlorpyrifos, Spinosad"
coffee,"Coffee leaf rust, Coffee berry disease, Root-knot nematodes, Coffee wilt disease",Drip,"NPK, Urea, Potassium","Coffee borer beetle, Coffee leaf miner, Aphids, Whitefly","Imidacloprid, Chlorpyrifos, Spinosad"
